130.09	4977
147.11	5816.1
183.66	4660
204.13	9940.3
221.1	5604.4
239.11	31797.1
249.1	21872.5
267.11	128489.5
291.16	34083.3
296.48	5283.5
304.88	10479.2
322.19	8743.9
362.18	46755.3
380.19	39560.5
402.2	5182.9
419.23	7716.1
439.16	5017.9
463.23	11143.2
481.24	10153.8
520.28	45374.6
592.27	9498.7
610.28	53161.8
649.31	42469.9
695.37	7337.5
723.37	48555.8
748.39	29821.2
810.41	10799.5
863.41	38602.8
924.45	7684.1
926.45	21049.9
934.46	39395.7
962.47	11133.6
1023.51	19690.2
1076.52	25272.7
1138.55	27930.7
1163.55	74982.1
1237.6	10679.8
1276.64	37540.7
1298.62	5738.4
1405.68	21377.9
1450.74	5497
1467.7	9944.6
1506.72	36270.1
1508.72	7378.1
1619.8	40099
